year,province,public_school_enrollment,enrollment_growth_pct,student_teacher_ratio,capacity_utilization_pct,source,notes
2018,ON,2070000,,15.2,94.5,Ontario Ministry of Education,"Enrollment figures from annual report"
2018,QC,1050000,,13.8,91.2,Ministère de l'Éducation du Québec,"Quebec education statistics"
2018,BC,620000,,16.1,92.8,BC Ministry of Education,"Provincial enrollment data"
2018,AB,650000,,17.5,89.3,Alberta Education,"Annual enrollment report"
2018,MB,210000,,15.8,87.6,Manitoba Education,"Provincial statistics"
2018,SK,190000,,16.4,86.2,Saskatchewan Ministry of Education,"Annual report"
2018,NS,135000,,14.9,90.1,Nova Scotia Education,"Enrollment data"
2018,NB,105000,,14.2,88.7,New Brunswick Education,"Provincial report"
2018,NL,72000,,13.5,85.4,Newfoundland Education,"Annual statistics"
2018,PE,21000,,13.1,87.2,PEI Education,"Provincial data"
2018,NT,8500,,12.8,82.1,NWT Education,"Territorial report"
2018,YT,5800,,11.9,80.5,Yukon Education,"Territorial data"
2018,NU,8500,,14.6,84.3,Nunavut Education,"Territorial report"
2019,ON,2095000,1.2,15.1,95.1,Ontario Ministry of Education,
2019,QC,1062000,1.1,13.7,91.8,Ministère de l'Éducation du Québec,
2019,BC,628000,1.3,16.0,93.2,BC Ministry of Education,
2019,AB,655000,0.8,17.3,90.1,Alberta Education,
2019,MB,211000,0.5,15.7,88.0,Manitoba Education,
2019,SK,191000,0.5,16.3,86.8,Saskatchewan Ministry of Education,
2019,NS,134000,-0.7,14.8,89.5,Nova Scotia Education,
2019,NB,104000,-1.0,14.1,87.9,New Brunswick Education,
2019,NL,71500,-0.7,13.4,84.8,Newfoundland Education,
2019,PE,21000,0.0,13.0,87.5,PEI Education,
2019,NT,8400,-1.2,12.7,81.5,NWT Education,
2019,YT,5700,-1.7,11.8,79.8,Yukon Education,
2019,NU,8600,1.2,14.5,84.8,Nunavut Education,
2020,ON,2110000,0.7,14.9,95.8,Ontario Ministry of Education,"COVID year, enrollment patterns shifted"
2020,QC,1065000,0.3,13.6,92.1,Ministère de l'Éducation du Québec,
2020,BC,632000,0.6,15.9,93.5,BC Ministry of Education,
2020,AB,658000,0.5,17.1,90.5,Alberta Education,
2020,MB,212000,0.5,15.6,88.4,Manitoba Education,
2020,SK,191500,0.3,16.2,87.1,Saskatchewan Ministry of Education,
2020,NS,133000,-0.7,14.7,89.9,Nova Scotia Education,
2020,NB,103500,-0.5,14.0,88.2,New Brunswick Education,
2020,NL,71000,-0.7,13.3,85.1,Newfoundland Education,
2020,PE,21000,0.0,12.9,87.8,PEI Education,
2020,NT,8300,-1.2,12.6,82.0,NWT Education,
2020,YT,5600,-1.8,11.7,80.1,Yukon Education,
