year,province,cohort_type,actual_intake,optimal_intake,aci_value,niv_per_unit,scenario
2018,AB,family_class,13920,84930,0.4537,-133783.0,aci_equal
2018,AB,francophone_pr,0,1914,0.5,444285.46,aci_equal
2018,AB,high_quality_student,13155,254125,0.4537,99711.36,aci_equal
2018,AB,high_wage_worker,27165,316575,0.4537,412526.93,aci_equal
2018,AB,in_canada_transition,12820,91360,0.4537,237641.37,aci_equal
2018,AB,low_quality_student,6120,113060,0.4537,-211205.93,aci_equal
2018,AB,low_wage_worker,11300,102855,0.4537,-180555.42,aci_equal
2018,AB,refugee,6355,26482,0.4537,-439889.84,aci_equal
2018,BC,family_class,14760,0,0.4446,-133783.0,aci_equal
2018,BC,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,BC,high_quality_student,52900,0,0.4446,99711.36,aci_equal
2018,BC,high_wage_worker,56705,0,0.4446,412526.93,aci_equal
2018,BC,in_canada_transition,16645,0,0.4446,237641.37,aci_equal
2018,BC,low_quality_student,31690,0,0.4446,-211205.93,aci_equal
2018,BC,low_wage_worker,24165,0,0.4446,-180555.42,aci_equal
2018,BC,refugee,3375,1892,0.4446,-439889.84,aci_equal
2018,MB,family_class,2730,0,0.3891,-133783.0,aci_equal
2018,MB,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,MB,high_quality_student,9585,0,0.3891,99711.36,aci_equal
2018,MB,high_wage_worker,10095,0,0.3891,412526.93,aci_equal
2018,MB,in_canada_transition,10260,0,0.3891,237641.37,aci_equal
2018,MB,low_quality_student,3050,0,0.3891,-211205.93,aci_equal
2018,MB,low_wage_worker,1180,0,0.3891,-180555.42,aci_equal
2018,MB,refugee,1540,1892,0.3891,-439889.84,aci_equal
2018,NB,family_class,390,0,0.3583,-133783.0,aci_equal
2018,NB,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,NB,high_quality_student,2460,0,0.3583,99711.36,aci_equal
2018,NB,high_wage_worker,2320,0,0.3583,412526.93,aci_equal
2018,NB,in_canada_transition,3600,0,0.3583,237641.37,aci_equal
2018,NB,low_quality_student,1360,0,0.3583,-211205.93,aci_equal
2018,NB,low_wage_worker,1385,0,0.3583,-180555.42,aci_equal
2018,NB,refugee,340,1892,0.3583,-439889.84,aci_equal
2018,NL,family_class,180,0,0.4191,-133783.0,aci_equal
2018,NL,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,NL,high_quality_student,1890,0,0.4191,99711.36,aci_equal
2018,NL,high_wage_worker,1745,0,0.4191,412526.93,aci_equal
2018,NL,in_canada_transition,885,0,0.4191,237641.37,aci_equal
2018,NL,low_quality_student,485,0,0.4191,-211205.93,aci_equal
2018,NL,low_wage_worker,420,0,0.4191,-180555.42,aci_equal
2018,NL,refugee,265,1892,0.4191,-439889.84,aci_equal
2018,NS,family_class,685,0,0.3232,-133783.0,aci_equal
2018,NS,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,NS,high_quality_student,6955,0,0.3232,99711.36,aci_equal
2018,NS,high_wage_worker,4150,0,0.3232,412526.93,aci_equal
2018,NS,in_canada_transition,4205,0,0.3232,237641.37,aci_equal
2018,NS,low_quality_student,3300,0,0.3232,-211205.93,aci_equal
2018,NS,low_wage_worker,2055,0,0.3232,-180555.42,aci_equal
2018,NS,refugee,645,1892,0.3232,-439889.84,aci_equal
2018,NT,family_class,55,0,,-133783.0,aci_equal
2018,NT,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,NT,high_quality_student,0,0,0.5,99711.36,aci_equal
2018,NT,high_wage_worker,80,0,,412526.93,aci_equal
2018,NT,in_canada_transition,120,0,,237641.37,aci_equal
2018,NT,low_quality_student,10,0,,-211205.93,aci_equal
2018,NT,low_wage_worker,30,0,,-180555.42,aci_equal
2018,NT,refugee,0,1892,0.5,-439889.84,aci_equal
2018,NU,family_class,0,0,0.5,-133783.0,aci_equal
2018,NU,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,NU,high_quality_student,0,0,0.5,99711.36,aci_equal
2018,NU,high_wage_worker,0,0,0.5,412526.93,aci_equal
2018,NU,in_canada_transition,0,0,0.5,237641.37,aci_equal
2018,NU,low_quality_student,0,0,0.5,-211205.93,aci_equal
2018,NU,low_wage_worker,55,0,,-180555.42,aci_equal
2018,NU,refugee,0,1892,0.5,-439889.84,aci_equal
2018,ON,family_class,37850,0,0.4147,-133783.0,aci_equal
2018,ON,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,ON,high_quality_student,126310,0,0.4147,99711.36,aci_equal
2018,ON,high_wage_worker,135140,0,0.4147,412526.93,aci_equal
2018,ON,in_canada_transition,29215,0,0.4147,237641.37,aci_equal
2018,ON,low_quality_student,54725,0,0.4147,-211205.93,aci_equal
2018,ON,low_wage_worker,41465,0,0.4147,-180555.42,aci_equal
2018,ON,refugee,25900,1892,0.4147,-439889.84,aci_equal
2018,PE,family_class,90,0,,-133783.0,aci_equal
2018,PE,francophone_pr,0,137,0.5,444285.46,aci_equal
2018,PE,high_quality_student,1085,0,,99711.36,aci_equal
2018,PE,high_wage_worker,1220,0,,412526.93,aci_equal
2018,PE,in_canada_transition,1860,0,,237641.37,aci_equal
2018,PE,low_quality_student,820,0,,-211205.93,aci_equal
2018,PE,low_wage_worker,845,0,,-180555.42,aci_equal
2018,PE,refugee,55,1892,,-439889.84,aci_equal
2018,QC,family_class,12270,0,0.4592,-133783.0,aci_equal
2018,QC,francophone_pr,3554,137,0.4592,444285.46,aci_equal
2018,QC,high_quality_student,35425,0,0.4592,99711.36,aci_equal
