year,actual_intake,optimal_intake,scenario,delta,delta_pct
2018,1015639,1015649,aci_housing_heavy,10,0.0009846018122580955
2019,1152789,1152783,aci_housing_heavy,-6,-0.0005204768608999565
2020,789115,789113,aci_housing_heavy,-2,-0.00025344848342763725
2021,1307358,1307354,aci_housing_heavy,-4,-0.0003059605708612331
2022,1590386,1590379,aci_housing_heavy,-7,-0.0004401447195837992
2023,2084571,2084572,aci_housing_heavy,1,4.7971501090632074e-05
2024,1864468,1864465,aci_housing_heavy,-3,-0.00016090380741316023
2025,1495687,1495694,aci_housing_heavy,7,0.0004680123582006128
2026,437516,437519,aci_housing_heavy,3,0.0006856892090803537
2018,1015639,1015649,aci_equal,10,0.0009846018122580955
2019,1152789,1152783,aci_equal,-6,-0.0005204768608999565
2020,789115,789113,aci_equal,-2,-0.00025344848342763725
2021,1307358,1307354,aci_equal,-4,-0.0003059605708612331
2022,1590386,1590379,aci_equal,-7,-0.0004401447195837992
2023,2084571,2084572,aci_equal,1,4.7971501090632074e-05
2024,1864468,1864465,aci_equal,-3,-0.00016090380741316023
2025,1495687,1495694,aci_equal,7,0.0004680123582006128
2026,437516,437519,aci_equal,3,0.0006856892090803537
2018,1015639,1015649,aci_fiscal_heavy,10,0.0009846018122580955
2019,1152789,1152783,aci_fiscal_heavy,-6,-0.0005204768608999565
2020,789115,789113,aci_fiscal_heavy,-2,-0.00025344848342763725
2021,1307358,1307354,aci_fiscal_heavy,-4,-0.0003059605708612331
2022,1590386,1590379,aci_fiscal_heavy,-7,-0.0004401447195837992
2023,2084571,2084572,aci_fiscal_heavy,1,4.7971501090632074e-05
2024,1864468,1864465,aci_fiscal_heavy,-3,-0.00016090380741316023
2025,1495687,1495694,aci_fiscal_heavy,7,0.0004680123582006128
2026,437516,437519,aci_fiscal_heavy,3,0.0006856892090803537
