year,dimension,avg_score,intake_gap,contribution,contribution_pct
2018,housing_vacancy,0.39,10,6.1,17.76
2018,housing_starts,0.3159,10,6.84,19.92
2018,health_capacity,0.7933,10,2.07,6.03
2018,school_capacity,0.4864,10,5.14,14.97
2018,job_quality,0.3739,10,6.26,18.23
2018,fiscal_balance,0.2069,10,7.93,23.09
2019,housing_vacancy,0.3526,-6,3.88,19.01
2019,housing_starts,0.3276,-6,4.03,19.75
2019,health_capacity,0.7624,-6,1.43,7.01
2019,school_capacity,0.4976,-6,3.01,14.75
2019,job_quality,0.4224,-6,3.47,17.0
2019,fiscal_balance,0.2342,-6,4.59,22.49
2020,housing_vacancy,0.4386,-2,1.12,15.64
2020,housing_starts,0.3353,-2,1.33,18.58
2020,health_capacity,0.6934,-2,0.61,8.52
2020,school_capacity,0.485,-2,1.03,14.39
2020,job_quality,0.1828,-2,1.63,22.77
2020,fiscal_balance,0.2787,-2,1.44,20.11
2021,housing_vacancy,0.3089,-4,2.76,19.99
2021,housing_starts,0.5037,-4,1.99,14.41
2021,health_capacity,0.608,-4,1.57,11.37
2021,school_capacity,0.483,-4,2.07,14.99
2021,job_quality,0.3351,-4,2.66,19.26
2021,fiscal_balance,0.3097,-4,2.76,19.99
2022,housing_vacancy,0.1624,-7,5.86,23.52
2022,housing_starts,0.3602,-7,4.48,17.98
2022,health_capacity,0.5461,-7,3.18,12.77
2022,school_capacity,0.4711,-7,3.7,14.85
2022,job_quality,0.6248,-7,2.63,10.56
2022,fiscal_balance,0.2768,-7,5.06,20.31
2023,housing_vacancy,0.0737,1,0.93,24.67
2023,housing_starts,0.2707,1,0.73,19.36
2023,health_capacity,0.4958,1,0.5,13.26
2023,school_capacity,0.464,1,0.54,14.32
2023,job_quality,0.6576,1,0.34,9.02
2023,fiscal_balance,0.2706,1,0.73,19.36
2024,housing_vacancy,0.2064,-3,2.38,22.22
2024,housing_starts,0.4662,-3,1.6,14.94
2024,health_capacity,0.4517,-3,1.65,15.41
2024,school_capacity,0.4556,-3,1.63,15.22
2024,job_quality,0.5821,-3,1.25,11.67
2024,fiscal_balance,0.2679,-3,2.2,20.54
2025,housing_vacancy,0.2963,7,4.93,31.1
2025,housing_starts,0.4198,7,4.06,25.62
2025,health_capacity,,7,0.0,0.0
2025,school_capacity,0.4419,7,3.91,24.67
2025,job_quality,0.5789,7,2.95,18.61
2025,fiscal_balance,,7,0.0,0.0
2026,housing_vacancy,,3,0.0,0.0
2026,housing_starts,0.3159,3,2.05,100.0
2026,health_capacity,,3,0.0,0.0
2026,school_capacity,,3,0.0,0.0
2026,job_quality,,3,0.0,0.0
2026,fiscal_balance,,3,0.0,0.0
