year,province,actual_welfare,optimal_welfare,welfare_loss,actual_total_intake,optimal_total_intake,intake_gap
2018,AB,7573943526.85,113034817055.61,105460873528.76,90835,991301,900466
2018,BC,18107108177.3,-771404469.26,-18878512646.56,200240,2029,-198211
2018,MB,5658501774.45,-771404469.26,-6429906243.71,38440,2029,-36411
2018,NB,1318814118.1,-771404469.26,-2090218587.36,11855,2029,-9826
2018,NL,799706675.65,-771404469.26,-1571111144.91,5870,2029,-3841
2018,NS,1961369970.25,-771404469.26,-2732774439.51,21995,2029,-19966
2018,NT,46632331.9,-771404469.26,-818036801.16,295,2029,1734
2018,NU,-9930548.1,-771404469.26,-761473921.16,55,2029,1974
2018,ON,39784315410.8,-771404469.26,-40555719880.06,450605,2029,-448576
2018,PE,691490024.7,-771404469.26,-1462894493.96,5975,2029,-3946
2018,QC,23066084323.04,-771404469.26,-23837488792.3,160784,2029,-158755
2018,SK,4565629627.7,-771404469.26,-5337034096.96,27885,2029,-25856
2018,YT,215160209.05,-771404469.26,-986564678.31,805,2029,1224
2019,AB,8190466925.0,143371295022.71,135180828097.71,98090,1126611,1028521
2019,BC,24237335521.95,-829425971.94,-25066761493.89,225715,2181,-223534
2019,MB,6684122818.3,-829425971.94,-7513548790.24,43665,2181,-41484
2019,NB,1853624568.8,-829425971.94,-2683050540.74,14785,2181,-12604
2019,NL,853285928.4,-829425971.94,-1682711900.34,6620,2181,-4439
2019,NS,2851376076.7,-829425971.94,-3680802048.64,25715,2181,-23534
2019,NT,34511321.5,-829425971.94,-863937293.44,200,2181,1981
2019,NU,8769830.45,-829425971.94,-838195802.39,30,2181,2151
2019,ON,56804041780.25,-829425971.94,-57633467752.19,519765,2181,-517584
2019,PE,978924857.55,-829425971.94,-1808350829.49,7025,2181,-4844
2019,QC,26121953951.19,-829425971.94,-26951379923.13,180914,2181,-178733
2019,SK,4546799709.3,-829425971.94,-5376225681.24,29200,2181,-27019
2019,YT,255635782.8,-829425971.94,-1085061754.74,1065,2181,1116
2020,AB,7016811520.7,108749701653.75,101732890133.05,61330,774670,713340
2020,BC,19146328893.5,-475011025.12,-19621339918.62,158300,1313,-156987
2020,MB,5847282263.4,-475011025.12,-6322293288.52,29680,1313,-28367
2020,NB,1401723650.4,-475011025.12,-1876734675.52,9755,1313,-8442
2020,NL,604120036.3,-475011025.12,-1079131061.42,3905,1313,-2592
2020,NS,2654369583.55,-475011025.12,-3129380608.67,16905,1313,-15592
2020,NT,28644548.15,-475011025.12,-503655573.27,115,1313,1198
2020,ON,44506244467.6,-475011025.12,-44981255492.72,347385,1313,-346072
2020,PE,585733341.7,-475011025.12,-1060744366.82,4910,1313,-3597
2020,QC,18374634510.5,-475011025.12,-18849645535.62,139340,1313,-138027
2020,SK,3162078201.75,-475011025.12,-3637089226.87,16780,1313,-15467
2020,YT,198382106.1,-475011025.12,-673393131.22,710,1313,603
2021,AB,7894923451.9,152880026950.19,144985103498.29,95440,1272554,1177114
2021,BC,27185294701.9,-1139517539.8,-28324812241.7,257055,2900,-254155
2021,MB,6456780488.45,-1139517539.8,-7596298028.25,44310,2900,-41410
2021,NB,2081974489.85,-1139517539.8,-3221492029.65,18665,2900,-15765
2021,NL,777367606.2,-1139517539.8,-1916885146.0,7655,2900,-4755
2021,NS,3945283920.55,-1139517539.8,-5084801460.35,29630,2900,-26730
2021,NT,54101359.35,-1139517539.8,-1193618899.15,305,2900,2595
2021,NU,-4513885.5,-1139517539.8,-1135003654.3,25,2900,2875
2021,ON,60757830350.25,-1139517539.8,-61897347890.05,610445,2900,-607545
2021,PE,997755302.3,-1139517539.8,-2137272842.1,8015,2900,-5115
2021,QC,25064164108.78,-1139517539.8,-26203681648.58,209333,2900,-206433
2021,SK,3716586770.8,-1139517539.8,-4856104310.6,25160,2900,-22260
2021,YT,278276599.0,-1139517539.8,-1417794138.8,1320,2900,1580
2022,AB,3393336709.3,159699530003.82,156306193294.52,132095,1549087,1416992
2022,BC,25393506837.55,-1337710054.74,-26731216892.29,293750,3441,-290309
2022,MB,5276783498.1,-1337710054.74,-6614493552.84,59260,3441,-55819
2022,NB,2393725929.65,-1337710054.74,-3731435984.39,28305,3441,-24864
2022,NL,689163363.8,-1337710054.74,-2026873418.54,11970,3441,-8529
2022,NS,4194535643.65,-1337710054.74,-5532245698.39,39630,3441,-36189
2022,NT,29808022.7,-1337710054.74,-1367518077.44,260,3441,3181
2022,NU,2319715.1,-1337710054.74,-1340029769.84,20,3441,3421
2022,ON,62983448120.2,-1337710054.74,-64321158174.94,727800,3441,-724359
2022,PE,1158688469.4,-1337710054.74,-2496398524.14,9090,3441,-5649
2022,QC,32559048759.61,-1337710054.74,-33896758814.35,245721,3441,-242280
2022,SK,5321668901.95,-1337710054.74,-6659378956.69,41290,3441,-37849
2022,YT,253201198.85,-1337710054.74,-1590911253.59,1195,3441,2246
2023,AB,6090957605.6,216248752340.26,210157794734.66,192860,2040976,1848116
2023,BC,33434532423.55,-1415979676.92,-34850512100.47,370745,3633,-367112
2023,MB,6728764097.0,-1415979676.92,-8144743773.92,79635,3633,-76002
2023,NB,4362246131.65,-1415979676.92,-5778225808.57,39080,3633,-35447
2023,NL,1257744531.2,-1415979676.92,-2673724208.12,15895,3633,-12262
2023,NS,5602148615.05,-1415979676.92,-7018128291.97,49365,3633,-45732
2023,NT,93148165.15,-1415979676.92,-1509127842.07,585,3633,3048
2023,NU,-4268074.9,-1415979676.92,-1411711602.02,115,3633,3518
2023,ON,100547753297.35,-1415979676.92,-101963732974.27,981225,3633,-977592
2023,PE,1529330381.2,-1415979676.92,-2945310058.12,12210,3633,-8577
2023,QC,30997738161.71,-1415979676.92,-32413717838.63,285611,3633,-281978
2023,SK,8175797093.1,-1415979676.92,-9591776770.02,55100,3633,-51467
2023,YT,445964555.9,-1415979676.92,-1861944232.82,2145,3633,1488
2024,AB,4616784044.8,182483275991.08,177866491946.28,204385,1817893,1613508
2024,BC,26477980125.85,-1531261584.34,-28009241710.19,320150,3881,-316269
2024,MB,5451797873.9,-1531261584.34,-6983059458.24,72200,3881,-68319
2024,NB,5709909459.5,-1531261584.34,-7241171043.84,39330,3881,-35449
2024,NL,1637485981.85,-1531261584.34,-3168747566.19,16910,3881,-13029
2024,NS,5988710041.35,-1531261584.34,-7519971625.69,45160,3881,-41279
2024,NT,88740019.1,-1531261584.34,-1620001603.44,710,3881,3171
2024,NU,-15467791.95,-1531261584.34,-1515793792.39,90,3881,3791
2024,ON,79794002310.15,-1531261584.34,-81325263894.49,820885,3881,-817004
2024,PE,1422459085.0,-1531261584.34,-2953720669.34,10610,3881,-6729
2024,QC,25729150909.08,-1531261584.34,-27260412493.42,281168,3881,-277287
2024,SK,6793080697.7,-1531261584.34,-8324342282.04,50875,3881,-46994
2024,YT,409532027.25,-1531261584.34,-1940793611.59,1995,3881,1886
2025,AB,4170495296.75,148426883816.55,144256388519.8,166455,1461710,1295255
2025,BC,20568763194.3,-1089268998.78,-21658032193.08,262550,2832,-259718
2025,MB,4349049557.25,-1089268998.78,-5438318556.03,60365,2832,-57533
2025,NB,4044224205.2,-1089268998.78,-5133493203.98,32310,2832,-29478
2025,NL,1411145614.75,-1089268998.78,-2500414613.53,14540,2832,-11708
2025,NS,4623886474.7,-1089268998.78,-5713155473.48,37285,2832,-34453
2025,NT,132178789.7,-1089268998.78,-1221447788.48,720,2832,2112
2025,NU,-800450.75,-1089268998.78,-1088468548.03,55,2832,2777
2025,ON,66601234427.1,-1089268998.78,-67690503425.88,635455,2832,-632623
2025,PE,808049654.75,-1089268998.78,-1897318653.53,7830,2832,-4998
2025,QC,24014801668.32,-1089268998.78,-25104070667.1,239307,2832,-236475
2025,SK,4418406748.5,-1089268998.78,-5507675747.28,37400,2832,-34568
2025,YT,212879003.0,-1089268998.78,-1302148001.78,1415,2832,1417
2026,AB,3901879644.25,70456109191.75,66554229547.5,51645,431075,379430
2026,BC,9879296841.85,-192896254.38,-10072193096.23,70695,537,-70158
2026,MB,1903655466.45,-192896254.38,-2096551720.83,18415,537,-17878
2026,NB,1622522007.6,-192896254.38,-1815418261.98,9085,537,-8548
2026,NL,773997460.9,-192896254.38,-966893715.28,4340,537,-3803
2026,NS,2010627163.5,-192896254.38,-2203523417.88,11305,537,-10768
2026,NT,79582357.55,-192896254.38,-272478611.93,320,537,217
2026,NU,6187903.95,-192896254.38,-199084158.33,15,537,522
2026,ON,38949804770.4,-192896254.38,-39142701024.78,198575,537,-198038
2026,PE,447544792.55,-192896254.38,-640441046.93,2420,537,-1883
2026,QC,6516764464.21,-192896254.38,-6709660718.59,59026,537,-58489
2026,SK,1941562626.45,-192896254.38,-2134458880.83,11175,537,-10638
2026,YT,105711607.85,-192896254.38,-298607862.23,500,537,37
